stid,station_name,lat,lon,elev,begints,iem_network
BDR,Bridgeport/Sikorsky,41.15833,-73.12889,5,1942-12-08 00:00,CT_ASOS
SNC,Chester,41.3839,-72.50589,126.8,2008-08-16 00:00,CT_ASOS
DXR,DANBURY MUNICIPAL,41.37,-73.48,139,1973-06-22 00:00,CT_ASOS
GON,GROTON/NEW LONDON,41.33,-72.05,3,1943-01-18 00:00,CT_ASOS
BDL,HARTFORD/BRADLEY,41.9381,-72.6825,55,1941-09-12 00:00,CT_ASOS
HFD,HARTFORD/BRAINARD,41.73672,-72.64944,6,1945-01-01 00:00,CT_ASOS
MMK,MERIDEN MARKHAM MUNI AIRPORT,41.51,-72.83,31,1975-09-11 00:00,CT_ASOS
HVN,NEW HAVEN/TWEED,41.26375,-72.88681,4,1948-01-01 00:00,CT_ASOS
OXC,OXFORD (AWOS),41.47412,-73.13539,222,1991-12-31 00:00,CT_ASOS
IJD,WILLIMANTIC (ASOS),41.74194,-72.18361,76,1996-07-01 00:00,CT_ASOS
