stid,station_name,lat,lon,elev,begints,iem_network
XLL,Allentown,40.57028,-75.48831,122,2009-01-15 00:00,PA_ASOS
JVU,Allentown,40.5703,-75.4883,122,2008-10-06 00:00,PA_ASOS
ABE,ALLENTOWN-BETHLEHEM,40.65083,-75.44917,117,1947-12-31 00:00,PA_ASOS
AOO,ALTOONA/BLAIR CO.,40.29636,-78.32003,458,1949-01-31 00:00,PA_ASOS
BVI,BEAVER FALLS ARPT,40.77247,-80.39144,382,1984-03-31 00:00,PA_ASOS
HMZ,Bedford,40.0853,-78.5122,350.62582,2001-09-06 00:00,PA_ASOS
BFD,BRADFORD REGIONAL,41.80307,-78.64012,653,1957-07-01 00:00,PA_ASOS
BTP,BUTLER CO. (AWOS),40.77694,-79.94972,380,1991-12-31 00:00,PA_ASOS
FIG,CLEARFIELD-LAWRENCE APT(WAS N97),41.04667,-78.41167,462,2000-01-26 00:00,PA_ASOS
MQS,Coatesville,39.97897,-75.86547,201.2,2007-10-10 00:00,PA_ASOS
VVS,Connellsville,39.9581,-79.6575,372.71487,2021-03-10 00:00,PA_ASOS
DYL,DOYLESTOWN AIRPORT,40.33305,-75.12234,120,1999-07-31 00:00,PA_ASOS
DUJ,DU BOIS (AWOS),41.18,-78.9,554,1972-12-31 00:00,PA_ASOS
ERI,ERIE INTL AIRPORT,42.08,-80.18,225,1948-01-01 00:00,PA_ASOS
RYT,Fountain Dale,39.734,-77.43,274,2005-03-10 00:00,PA_ASOS
FKL,FRANKLIN(AWOS),41.37787,-79.86036,469,1968-01-01 00:00,PA_ASOS
CXY,HARRISBURG/CAPITAL,40.21714,-76.85147,106,1947-12-31 00:00,PA_ASOS
HZL,Hazelton,40.9868,-75.9949,488.81073,2014-01-22 00:00,PA_ASOS
IDI,INDIANA/STEWART FLD,40.63222,-79.10553,429,1997-02-28 00:00,PA_ASOS
JST,JOHNSTOWN/CAMBRIA,40.31611,-78.83394,696,1948-09-26 00:00,PA_ASOS
LNS,LANCASTER,40.12028,-76.29444,123,1973-07-01 00:00,PA_ASOS
LBE,LATROBE/WESTMORLAND,40.27594,-79.4048,361,1973-01-02 00:00,PA_ASOS
22N,Lehighton,40.8095,-75.7615,158.07216,2015-11-19 00:00,PA_ASOS
XIF,Liberty - Raven Rock,39.729,-77.43,347.64053,2021-07-29 00:00,PA_ASOS
GKJ,MEADVILLE,41.62653,-80.21472,428,1997-05-31 00:00,PA_ASOS
MDT,MIDDLETOWN/OLMSTED,40.19361,-76.76333,94,1935-02-01 00:00,PA_ASOS
MPO,MT POCONO,41.13889,-75.37944,577,1999-09-30 00:00,PA_ASOS
MUI,MUIR AAF/INDIANTOWN,40.43483,-76.56933,149,1978-08-28 00:00,PA_ASOS
UCP,New Castle,41.02534,-80.41337,326.7,2006-12-19 00:00,PA_ASOS
CKZ,Perkasie,40.38919,-75.29047,165.06905,2015-08-24 00:00,PA_ASOS
PHL,Philadelphia Intl,39.87335,-75.22663,2,1941-01-01 00:00,PA_ASOS
PNE,PHILADELPHIA NE,40.0789,-75.01335,37,1948-12-31 00:00,PA_ASOS
LOM,PHILADELPHIA/WINGS FIELD,40.13756,-75.26514,92,2003-01-24 00:00,PA_ASOS
PSB,PHILIPSBURG/MID-ST,40.88439,-78.08734,594,1947-12-31 00:00,PA_ASOS
AGC,PITTSBURGH/ALLEGHEN,40.35472,-79.92167,382,1945-01-01 00:00,PA_ASOS
PIT,PITTSBURGH INTL,40.49147,-80.23286,373,1945-02-01 00:00,PA_ASOS
PTW,POTTSTOWN LIMERICK AIRPORT,40.23833,-75.55722,94,1999-03-31 00:00,PA_ASOS
ZER,Pottsville,40.7065,-76.3731,515,2022-09-15 00:00,PA_ASOS
UKT,QUAKERTOWN_ARPT,40.43521,-75.38193,160,2003-06-09 00:00,PA_ASOS
RDG,READING/SPAATZ FLD,40.3785,-75.96525,105,1943-06-08 00:00,PA_ASOS
RVL,Reedsville,40.6774,-77.6268,246.76106,2019-05-14 00:00,PA_ASOS
SEG,SELINSGROVE,40.82056,-76.86389,137,1949-01-31 00:00,PA_ASOS
N79,Shamokin,40.8369,-76.5525,262,2023-03-21 00:00,PA_ASOS
2G9,Somerset,40.0389,-79.015,679.9938,2016-05-22 00:00,PA_ASOS
UNV,STATE COLLEGE,40.85,-77.85,378,1980-06-25 00:00,PA_ASOS
OYM,St Marys,41.4125,-78.5026,579.1905,2018-02-02 00:00,PA_ASOS
THV,THOMASVILLE/YORK,39.917,-76.87303,148,1982-07-01 00:00,PA_ASOS
AFJ,WASHINGTON (AWOS),40.13649,-80.2902,361,1989-03-09 00:00,PA_ASOS
N38,Wellsboro,41.7279,-77.3965,572.8793,2014-08-20 00:00,PA_ASOS
OQN,West Chester,39.9889,-75.5803,139.3616,2019-02-27 00:00,PA_ASOS
AVP,WILKES-BARRE/SCRANT,41.33347,-75.72267,289,1948-12-31 00:00,PA_ASOS
IPT,WILLIAMSPORT,41.24333,-76.92167,160,1948-07-01 00:00,PA_ASOS
NXX,WILLOW GROVE NAS,40.2,-75.15,110,1945-02-01 00:00,PA_ASOS
PJC,Zelienople,40.8009,-80.1624,272.68625,2020-12-09 00:00,PA_ASOS
