station,network,valid,precip_in
NYC,NY_ASOS,1965-01-02 12:00,0.02
NYC,NY_ASOS,1965-01-02 15:00,0.05
NYC,NY_ASOS,1965-01-02 18:00,0.05
NYC,NY_ASOS,1965-01-03 03:00,0.01
NYC,NY_ASOS,1965-01-08 06:00,0.08
NYC,NY_ASOS,1965-01-08 09:00,0.1
NYC,NY_ASOS,1965-01-08 12:00,0.02
NYC,NY_ASOS,1965-01-09 15:00,0.01
NYC,NY_ASOS,1965-01-10 09:00,0.04
NYC,NY_ASOS,1965-01-10 12:00,0.06
NYC,NY_ASOS,1965-01-10 15:00,0.04
NYC,NY_ASOS,1965-01-10 18:00,0.04
NYC,NY_ASOS,1965-01-10 21:00,0.04
NYC,NY_ASOS,1965-01-16 03:00,0.01
NYC,NY_ASOS,1965-01-16 06:00,0.03
NYC,NY_ASOS,1965-01-16 09:00,0.03
NYC,NY_ASOS,1965-01-16 12:00,0.03
NYC,NY_ASOS,1965-01-16 15:00,0.03
NYC,NY_ASOS,1965-01-23 03:00,0.02
NYC,NY_ASOS,1965-01-23 06:00,0.02
NYC,NY_ASOS,1965-01-23 12:00,0.01
NYC,NY_ASOS,1965-01-23 15:00,0.03
NYC,NY_ASOS,1965-01-23 18:00,0.03
NYC,NY_ASOS,1965-01-23 21:00,0.04
NYC,NY_ASOS,1965-01-24 00:00,0.07
NYC,NY_ASOS,1965-01-24 03:00,0.08
NYC,NY_ASOS,1965-01-24 06:00,0.03
NYC,NY_ASOS,1965-01-24 09:00,0.01
NYC,NY_ASOS,1965-01-24 12:00,0.01
NYC,NY_ASOS,1965-02-07 15:00,0.08
NYC,NY_ASOS,1965-02-07 18:00,0.13
NYC,NY_ASOS,1965-02-07 21:00,0.23
NYC,NY_ASOS,1965-02-08 00:00,0.26
NYC,NY_ASOS,1965-02-08 03:00,0.01
NYC,NY_ASOS,1965-02-10 09:00,0.01
NYC,NY_ASOS,1965-02-10 12:00,0.05
NYC,NY_ASOS,1965-02-12 03:00,0.02
NYC,NY_ASOS,1965-02-12 09:00,0.01
NYC,NY_ASOS,1965-02-14 21:00,0.02
NYC,NY_ASOS,1965-02-22 03:00,0.02
NYC,NY_ASOS,1965-02-25 03:00,0.03
NYC,NY_ASOS,1965-02-25 06:00,0.13
NYC,NY_ASOS,1965-02-25 09:00,0.12
NYC,NY_ASOS,1965-03-05 12:00,0.01
NYC,NY_ASOS,1965-03-05 15:00,0.16
NYC,NY_ASOS,1965-03-05 18:00,0.01
NYC,NY_ASOS,1965-03-10 15:00,0.05
NYC,NY_ASOS,1965-03-15 06:00,0.06
NYC,NY_ASOS,1965-03-17 18:00,0.05
NYC,NY_ASOS,1965-03-17 21:00,0.08
NYC,NY_ASOS,1965-03-18 00:00,0.06
NYC,NY_ASOS,1965-03-18 03:00,0.02
NYC,NY_ASOS,1965-03-20 12:00,0.04
NYC,NY_ASOS,1965-03-20 15:00,0.01
NYC,NY_ASOS,1965-03-23 18:00,0.09
NYC,NY_ASOS,1965-03-23 21:00,0.02
NYC,NY_ASOS,1965-03-26 03:00,0.02
NYC,NY_ASOS,1965-03-26 06:00,0.02
NYC,NY_ASOS,1965-03-26 09:00,0.03
NYC,NY_ASOS,1965-03-29 06:00,0.02
